Nombre del producto,Empresa,Ingredientes ,Fórmula,Uso ,Dosis ,Tiempo de retiro ,Número de certificado o registro,Clasificación ,Fecha de registro,Fecha de vigencia
APICAMARÓN 1 40% (PRECRÍA MIGAJA 3),"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo,harina de pescado, harina de calamar, pastas de oleaginosas, sub productos de trigo,  gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina,  vitamina A y D estabilizadas, vitaminas  E y K, vitamina C, tiamina, niacina, riboflavina, biotina, piridoxina, panteonato de calcio, sulfato de cobre, óxido de magnesio, óxido de manganeso, yodo. óxido de zinc, sulfato ferroso, sulfato de potasio. ",Humedad ………11.00%   max        Proteina cruda ..40.00%min           Fibra  cruda……4.00%   max                Grasa cruda…….6.00%min                    Cenizas ………….11.00%   max  E.LN…………………28.00%                          ,Alimento balanceado para camarón,Para calcular las primeras raciones se multiplica la biomasa total del estanque por el 25% de peso corporal y esta se divide entre el numero de raciones que se quiere ofrecer,No aplica,A-136/2016-013,Alimento,22-sep-16,22-sep-21
APICAMARÓN 1 40% (PRECRÍA MIGAJA 1),"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo,harina de pescado, harina de calamar, pastas de oleaginosas, sub productos de trigo,  gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina,  vitamina A y D estabilizadas, vitaminas  E y K, vitamina C, tiamina, niacina, riboflavina, biotina, piridoxina, panteonato de calcio, sulfato de cobre, óxido de magnesio, óxido de manganeso, yodo. óxido de zinc, sulfato ferroso, sulfato de potasio. ",Humedad ………11.00%   max        Proteina cruda ..40.00%min           Fibra  cruda……4.00%   max                Grasa cruda…….6.00%min                    Cenizas ………….11.00%   max  E.LN…………………28.00%                          ,Alimento balanceado para camarón en el periodo de precría.,Para calcular las primeras raciones se multiplica la biomasa total del estanque por el 25% de peso corporal y esta se divide entre el numero de raciones que se quiere ofrecer,No aplica,A-136/2016-014,Alimento,22-sep-16,22-sep-21
APICAMARON 2 25% (ENGORDA INICIAL) MEDICADO CON OXITETRACICLINA,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal,  lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio,sulfato de cobre, oxido de magnesio, óxido de manganeso, yodo,  óxido de zinc, sulfato ferroso,  sulfato de potasio, medicación: Oxitetraciclina 4000g/ton.",Proteína mín. …25.00%. Grasa mín…6.00%. Fibra máx…5.00% Humedad máx ……11.00% Cenizas máx… 11.00% E.LN. ….42..00%,"Alimento balanceado medicado con oxitetraciclina, antibiotico de amplio espectro y efecto bactericida, para el tratamineto de los siguientes generos bacterianos, que afectan al camarón: Rickettsia spp. (NHP), Vibrio spp, Pseudomonas spp, Aeromonas spp. camarón",El suministro de alimento es calculado en base al 20% de la biomasa obtenida y dividido entre el numero de veces que se requiera servir de acuerdo al manejo de cada granja.Se administra durante un periodo de 7 a 14 días consecutivos.,No aplica,AM-136/2016-001,Alimento Medicado ,29-nov-16,29-nov-21
APICAMARON 2 35% (ENGORDA INICIAL) MEDICADO CON OXITETRACICLINA,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal,  lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio,sulfato de cobre, oxido de magnesio, óxido de manganeso, yodo,  óxido de zinc, sulfato ferroso,  sulfato de potasio, medicación: Oxitetraciclina 4000g/ton.",Proteína mín. …35.00%. Grasa mín…6.00%. Fibra máx…4.00% Humedad máx ……11.00% Cenizas máx… 11.00% E.LN. ….33.00%,"Alimento balanceado medicado con oxitetraciclina, antibiotico de amplio espectro y efecto bactericida, para el tratamineto de los siguientes generos bacterianos, que afectan al camarón: Rickettsia spp. (NHP), Vibrio spp, Pseudomonas spp, Aeromonas spp.Diseñado para ser suministrado a los camarones en la fase inicial de crecimiento una vez sembrados en los estanques de engorda. Camarón",El suministro de alimento es calculado en base al 20% de la biomasa obtenida y dividido entre el numero de veces que se requiera servir de acuerdo al manejo de cada granja. Se administra durante un periodo de 7-14 días consecutivos,No aplica,AM-136/2016-002,Alimento Medicado ,29-nov-16,29-nov-21
APICAMARON 2 35% (precría migaja 3) MEDICADO CON OXITETRACICLINA,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal,  lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio,sulfato de cobre, oxido de magnesio, óxido de manganeso, yodo,  óxido de zinc, sulfato ferroso,  sulfato de potasio, medicación: Oxitetraciclina 4000g/ton.",Proteína mín. …35.00%. Grasa mín…6.00%. Fibra máx…3.00% Humedad máx ……10.00% Cenizas máx… 11.00% E.LN. ….35.00%,"Alimento balanceado medicado con oxitetraciclina, antibiotico de amplio espectro y efecto bactericida, para el tratamineto de los siguientes generos bacterianos, que afectan al camarón: Rickettsia spp. (NHP), Vibrio spp, Pseudomonas spp, Aeromonas spp.Diseñado para ser suministrado a los camarones en el periodo posterior al pre-criadero. Utilizar en la etapa de 1.1 g de peso y hasta que adquieran la talla de aproximadamente 2.5 g de peso. camarón",Para calcular las primeras raciones se multiplica la biomasa total del estanque por el 25% de peso corporal y esta se divide entre el numero de raciones que se quiere ofrecer de acuerdo al manejo de cada granja. Se administra durante un periodo de 7 a 14 días consecutivos                                  ,No aplica,AM-136/2016-003,Alimento Medicado ,29-nov-16,29-nov-21
AquaNu3 camaron 4008 Raceway 1 (300-500 micras),"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne (pollo), pastas oleaginosas (soya y/o canola y/o girasol y/o cartamo), cereales (trigo y/o sorgo y/o maíz), subproductos de cereales, aceite de pescado, (preservado con BHA y BHT), sal yodada, aluminosilicatos de calcio y sodio, saborizante natural, acidos organicos, cloruro de colina, L- lisina, DL-metionina, L-treonina; vitaminas: suplemento de vitamina A, tiamina (vitamina B1), riboflavina ( vitamina B2), nicotinamida (vitamina B3), clorhidrato de piridoxina (vitamina B6), biotina (vitamina B7), ácido fólico(vitamina B9), suplemento de vitamina D y E. Minerales : carbonato de calcio, sulfato de zinc, sulfato de cobre, sulfato de manganeso y selenito de sodio.",Proteína mín. ...40.00%. Grasa mín…8.00%. Fibra máx…4.00% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….28.00%,ALIMENTO BALANCEADO PARA CAMARÓN EN POSTLARVA DEL PL 10 A PL 15 (RACEWAY 1). Camarón,Alimentar de 4 a 8 raciones al día. Alimentar del 7 al 20 % de la biomasa estimada del tanque,No aplica,A-120/2016-002,Alimento,15-dic-16,15-dic-21
AquaNu3 camaron XT 3505 PELLET EXTRUIDO,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne (pollo), pastas oleaginosas (soya y/o canola y/o girasol y/o cartamo), cereales (trigo y/o sorgo y/o maíz), subproductos de cereales, aceite de pescado, (preservado con BHA y BHT), sal yodada, aluminosilicatos de calcio y sodio, saborizante natural, acidos organicos, cloruro de colina, L- lisina, DL-metionina, L-treonina; vitaminas: suplemento de vitamina A, tiamina (vitamina B1), riboflavina ( vitamina B2), nicotinamida (vitamina B3), clorhidrato de piridoxina (vitamina B6), biotina (vitamina B7), ácido fólico(vitamina B9), suplemento de vitamina D y E. Minerales : carbonato de calcio, sulfato de zinc, sulfato de cobre, sulfato de manganeso y selenito de sodio.",Proteína mín. …35.00%. Grasa mín…5.00%. Fibra máx…5.00% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….35.00%,alimento balanceado para camaron juvenil de 5 g de peso corporal a la cosecha. Subadulto y adulto,Alimentar de 2 a 4 veces al día. Alimentar del 1.5 al 4% de la biomasa estimada en el tanque,No aplica,A-120/2016-003,Alimento,15-dic-16,15-dic-21
AquaNu3 camarón migaja 4008  (801-1500 micras),"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne (pollo), pastas oleaginosas (soya y/o canola y/o girasol y/o cartamo), cereales (trigo y/o sorgo y/o maíz), subproductos de cereales, aceite de pescado, (preservado con BHA y BHT), sal yodada, aluminosilicatos de calcio y sodio, saborizante natural, acidos organicos, cloruro de colina, L- lisina, DL-metionina, L-treonina; vitaminas: suplemento de vitamina A, tiamina (vitamina B1), riboflavina ( vitamina B2), nicotinamida (vitamina B3), clorhidrato de piridoxina (vitamina B6), biotina (vitamina B7), ácido fólico(vitamina B9), suplemento de vitamina D y E. Minerales : carbonato de calcio, sulfato de zinc, sulfato de cobre, sulfato de manganeso y selenito de sodio.",Proteína mín. ...40.00%. Grasa mín…8.00%. Fibra máx…4.00% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….28.00%,Alimento balanceado para camaron juvenil de 0.2 a 2.0 g,"Alimentar de 3 a 5 veces al día, utilizar en especies de engorda.Alimentar de acuerdo a las tablas de alimentación.",No aplica,A-120/2016-004,Alimento,15-dic-16,15-dic-21
AquaNu3 camaron 4008 PELET EXTRUÍDO ,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne (pollo), pastas oleaginosas (soya y/o canola y/o girasol y/o cartamo), cereales (trigo y/o sorgo y/o maíz), subproductos de cereales, aceite de pescado, (preservado con BHA y BHT), sal yodada, aluminosilicatos de calcio y sodio, saborizante natural, acidos organicos, cloruro de colina, L- lisina, DL-metionina, L-treonina; vitaminas: suplemento de vitamina A, tiamina (vitamina B1), riboflavina ( vitamina B2), nicotinamida (vitamina B3), clorhidrato de piridoxina (vitamina B6), biotina (vitamina B7), ácido fólico(vitamina B9), suplemento de vitamina D y E. Minerales : carbonato de calcio, sulfato de zinc, sulfato de cobre, sulfato de manganeso y selenito de sodio.",Proteína mín. ...40.00%. Grasa mín…8.00%. Fibra máx…4.00% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….28.00%,Alimento balanceado para camaron juvenil de 5 g a la cosecha. Subadulto y adulto.,Dos a 4 raciones al día. La ración es de acuerdo a las tablas de alimentacion ( biomasa y peso) y a otros factores.,No aplica,A-120/2016-005,Alimento,15-dic-16,15-dic-21
AquaNu3 camaron Raceway (501-800 micras),"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne (pollo), pastas oleaginosas (soya y/o canola y/o girasol y/o cartamo), cereales (trigo y/o sorgo y/o maíz), subproductos de cereales, aceite de pescado, (preservado con BHA y BHT), sal yodada, aluminosilicatos de calcio y sodio, saborizante natural, acidos organicos, cloruro de colina, L- lisina, DL-metionina, L-treonina; vitaminas: suplemento de vitamina A, tiamina (vitamina B1), riboflavina ( vitamina B2), nicotinamida (vitamina B3), clorhidrato de piridoxina (vitamina B6), biotina (vitamina B7), ácido fólico(vitamina B9), suplemento de vitamina D y E. Minerales : carbonato de calcio, sulfato de zinc, sulfato de cobre, sulfato de manganeso y selenito de sodio.",Proteína mín. ...40.00%. Grasa mín…8.00%. Fibra máx…4.00% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….28.00%,Alimento balanceado para camarón postlarva de PL 16 a Juveniles de 0.2 g,Alimentar de 4 a 8 veces al día. Alimentar del 17 al 19% de la biomasa estimada del tanque.,No aplica,A-120/2016-006,Alimento,15-dic-16,15-dic-21
GROWFISH BAGRE 1(INICIACIÓN),"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …35.00%. Grasa mín…4.00%. Fibra máx…5.00% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….36..00%,Alimento balanceado y diseñado para ser administrado a los bagres en el periodo posterior a la etapa de alevinaje hasta que alcancen la etapa juvenil (de los 5 g de peso ) o de los 5 cm a los 15 cm de longitud,De acuerdo a la etiqueta que se somete a aprobación,No aplica,A-136/2016-015,Alimento,20-dic-16,20-dic-21
GROWFISH BAGRE 2 (INICIACION),"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …35.200%. Grasa mín…4.50%. Fibra máx…5.00% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….38.50%,"Alimento balanceado formulado para la iniciación de bagres de 60 g y hasta que alcancen los 350g de peso (tamaños 3/16"" y 5/16"")",De acuerdo a la etiqueta que se somete a aprobación,No aplica,A-136/2016-016,Alimento,20-dic-16,20-dic-21
GROWFISH TRUCHA 2 (INICIACIÓN) 35% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, grano seco de destilería, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C; carotenos naturales y artificiales, carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …45.00%. Grasa mín…15.00%. Fibra máx…3.00% Humedad máx ……12.00% Cenizas máx… 14.00% E.LN. ….11.00%,Alimento balanceado formulado para cubrir los requerimientos de las truchas durante  la etapa de inicio. Se utiliza desde que las truchas tienen 50g de peso o midan aproximadamente 16 cm de longitud hasta los 100 g de peso o 20 cm de longitud.,"Administrar de 1.1% a 2.3% de la biomasa dia dependiendo de la temperatura del estanque repartida por lo menos 2 veces al día. En presentación extruido 3/16""",No aplica,A-136/2016-020,Alimento,20-dic-16,20-dic-21
GROWFISH TRUCHA 3 (FINALIZACIÓN) 40% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, grano seco de destilería, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C; carotenos naturales y artificiales, carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. ...40.00%. Grasa mín…16.00%. Fibra máx…3.50% Humedad máx ……12.00% Cenizas máx… 14.00% E.LN. ….14.50%,"Alimento balanceado, formulado para cubrir los requerimientos de las truchas durante la etapa de finalización. Se utiliza desde que las truchas tienen 100g de peso o 20 cm de longitud hasta su peso o talla de mercado.",Administrar del 1.0% a 1.9% de la biomasa por dia dependiendo de la temperatura del estanque.,No aplica,A-136/2016-021,Alimento,20-dic-16,20-dic-21
GROWFISH TRUCHA SALMONADA 40% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. ...40.00%. Grasa mín…16.00%. Fibra máx…5.0% Humedad máx ……12.00% Cenizas máx… 14.00% E.LN. ….13.0%,"Alimento balanceado, formulado para cubrir los requerimientos de as truchas durante la etapa de finalización",Administrar de 1.0% a 1.9% de la biomasa por día de las truchas durante la etapa de finalización,No aplica,A-136/2016-022,Alimento,20-dic-16,20-dic-21
GROWFISH ROBALO 50%,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …50.00%. Grasa mín…14.00%. Fibra máx…3.0% Humedad máx ……12.00% Cenizas máx… 13.50% E.LN. ….7.5%,"Alimento balanceado, diseñado para cubrir los requerimientos nutricionales de los robalos en la etapa de engorda.",Para organismos de 80 g hasta alcanzar el peso de 250 g ofreciendo un 7% de la biomasa en 5 raciones. En presentación de 3.5 mm,No aplica,A-136/2016-023,Alimento,20-dic-16,20-dic-21
GROWFISH CORVINA ENGORDA,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …46.00%. Grasa mín…14.0%. Fibra máx…4.0% Humedad máx ……12.00% Cenizas máx… 12.0% E.LN. ….12.0%,"Alimento balanceado, diseñado para cubrir los requerimientos nutricionales de las corvinas en la etapa de engorda.","administrar el 7% de la biomasa para peces de 80ghasta alcanzar el peso de 250 g, 5 raciones (presentacion de 3.5 mm)Para peces de 250 g hasta 900 g se recomienda ofrecer un 5% de la biomasa en 4 raciones ( presentación de 5.5 mm)",No aplica,A-136/2016-026,Alimento,20-dic-16,20-dic-21
GROWFISH PARGO 48%,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …48.00%. Grasa mín…12.5%. Fibra máx…5.0% Humedad máx ……12.00% Cenizas máx… 15.0% E.LN. ….7.50%,"Alimento balanceado, diseñado para cubrir los requerimientos nutricionales de los pargos en la etapa de engroda.","Administrar el 7% de la biomasa para peces de 80ghasta alcanzar el peso de 250 g, 5 racionespor día ( presentación de 5.5 mm)",No aplica,A-136/2016-027,Alimento,20-dic-16,20-dic-21
GROWFISH PARGO 44%,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, aceite de soya, aceite de pescado, lecitina de soya,; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C;carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico",Proteína mín. …44.00%. Grasa mín…11.5%. Fibra máx…5.0% Humedad máx ……12.00% Cenizas máx… 15.0% E.LN. ….12.50%,"Alimento balanceado, diseñado para cubrir los requerimientos nutricionales de los pargos en la etapa de engroda.",Ofrecer el 5% de la biomasa a peces de 250 g hasta 900g en 4 raciones(presentación de 5.5 mm),No aplica,A-136/2016-028,Alimento,20-dic-16,20-dic-21
APICAMARÓN 35% FÓRMULA ESPECIAL,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado,harina de pollo prime, harina de calamar,lecitina, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal,  paredes celulares, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, cobre,cobalto, magnesio, manganeso, yodo,  zinc, sulfato ferroso,  potasio, selenio y cromo orgánico.",Proteína mín. …35.00%. Grasa mín…6.0%. Fibra máx…3.50% Humedad máx ……12.00% Cenizas máx… 8.00% E.LN. ….34.50%,Alimento balanceado para camarón de 2g de peso en la fase de engorda,De acuerdo al proyecto de etiqueta que se somete a aprobación,,A-136/2016-030,Alimento,20-dic-16,20-dic-21
APICAMARÓN DORADO 25%,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, soya, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, aceite de pescado, aceite vegetal, fosfato de calcio, carbonato de calcio, cloruro de sodio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, cobre, cobalto, magnesio, manganeso,óxido de zinc, sulfato ferroso, selenio, potasio,",Proteína mín. …25.00%. Grasa mín…7.00%. Fibra máx…3.50% Humedad máx ……12.00% Cenizas máx… 13.00% E.LN. ….39.50%,"Alimento balanceado para camarón en estanquería de engorda, desde los 15 g de peso y hasta que alcancen el peso de cosecha","Administrar 2.5% de la biomasa cuando el peso del camarón es de 15 g. 2.2% de la biomasa cuando el peso de camarón es de 18 g, 2.1% de biomasa cuano el peso delcamaron es de 20 g  y  1.7% de la biomasa cuando el peso del camarón llega a los 23g.",No aplica,A-136/2016-031,Alimento,20-dic-16,20-dic-21
APICAMARÓN DORADO 40%,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz,gluten de trigo, aceite de pescado, aceite vegetal, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K estabilizadas,minerales quelatados, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, cobre,cobalto, magnesio, manganeso,óxido zinc, sulfato ferroso,  potasio, selenio y cromo orgánico.",Proteína mín. ...40.00%. Grasa mín…7.00%. Fibra máx…3.50% Humedad máx ……12.00% Cenizas máx… 13.00% E.LN. ….24.50%,Alimento balanceado para camarón en etapa de post larva y hasta que alcancen los 3-4 g de peso,"Administrar 11% de la biomasa, cuando pesa 1g; 8% de la biomasa cuando pesa 2g y 6.4% de la biomasa cuando pesa 3g.",No aplica,A-136/2016-032,Alimento,20-dic-16,20-dic-21
AquaNu3 TRUCHA ULTRA 40-12,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne de pollo, pastas de oleoginosas (soya o canola o girasol o cártamo), trigo, subproductos de cereales, aceite de pescado (preservado con BHA y BHT), aceite vegetal, sal yodada, aluminosilicatos de calcio y sodio, saborizante natural, ácidos orgánicos, cultivo de levaduras inertes (Saccharomyces cerevisiae).  L-lisina, DL-metionina, L-treonina; Vitaminas: cloruro de colina, propionato de calcio o sodio. Vitaminas: suplemento de vitamina A, Tiamina (Vitamina B1), Riboflavina (Vitamina B2), Nicotinamina (B3), Clorhidrato de Piridoxina (Vitamina B6), Biotina (B7), Ácido Fólico (Vitamina 9), Cobalamina (Vitamina B12), suplemento de vitaminas D, suplemento de vitamina E; Minerales: carbonato de calcio,  sulfato de zinc, sulfato de cobre, sulfato de manganeso, selenito de sodio, carbonato de cobalto.","Proteína ……………………………………40.00% min.
Grasa…………………………………………12.00% min.
Fibra……………………………………………5.00% máx.
Humedad…………………………………12.00%  máx.
Cenizas…………………………………….10.00% máx.
E.L.N………………………………………….21.00% 
 ",Alimento balanceado para truchas de 0.18g a más de 180 g de peso corporal.,"La ración es de acuerdo a las tablas de alimentación la cual se sujetará dependiendo de la demanda del comportamiento de los organismos y de otros factores como genética, % de machos y hembras, parámetros fisicoquímicos, enfermedades, etc. Pero sobre todo de la temperatura del estanque.",No aplica,A-120/2017-001,Alimento,03-abr-17,03-abr-22
Enro-blend aqua,"Laboratorio Avi-Mex, S.A. de C.V.",Enroflaxacina ,Enrofloxacina base...…..50g  Excipiente……………….1000g,Antimicrobiano sintético de amplio espectro para especeis acuáticas para el tratamiento de los camarones en crecimiento,3-5 kg/ton de alimeto durante 7-14 días,30 días después de última administración,DGSA-DSAP-CSAUA-001-(1)/2013,Antibiótico ,12-abr-17,12-abr-22
flor-blend aqua,"Laboratorio Avi-Mex, S.A. de C.V.",Florfelnicol ,Florfenicol…………...20.0g      Excipiente c.b.p…….1000.0g,Antimicrobiano sintético de amplio espectro para especeis acuáticas para el tratamiento de los camarones en crecimiento,4-5 kg/ton de alimeto durante 7-14 días,30 días después de última administración,DGSA-DSAP-CSAUA-002-(1)/2013,Antibiótico ,12-abr-17,12-abr-22
Magna-mix aqua,"Laboratorio Avi-Mex, S.A. de C.V.",Fosfomicina ,Fosfomicina base………..50g               Excipiente c.b.p……….1000g,"Antibiótico de amplio espectro, para ser utilizado como premezcla alimentícia para camarones ",50 a 80 mg/kg de biomasa ó 4 a 5 kg por tonelada de alimento,30 días después de la última administración del producto,DGSA-DSAP-CSAUA-002-(1)/2011,Antibiótico ,12-abr-17,12-abr-22
Oxi-blend 50,"Laboratorio Avi-Mex, S.A. de C.V.",Oxitetraciclina ,Oxitetraciclina HCL….500.0g     Excipiente c.b.p….1000.0g,Antimicrobiano sintético de amplio espectro para especeis acuáticas para el tratamiento de los camarones en crecimiento,6-8 kg/ton de alimeto durante 7-14 días,30 días después de última administración,DGSA-DSAP-CSAUA-003-(1)/2013,Antibiótico ,12-abr-17,12-abr-22
